id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_ee90591042,Nexus Guard 1088,Borealgrad,BOR,security,8.06,221051563.8733,5954.5657,0.0,101.9172,361476.4052,1944.4038,1.121892,0.805415,0.9,0.839285,0.026781,-31.0827,46.1724,77.2551,"{liquidity=-77.26, causal=+13.46, existence=+12.47, legal=+9.06, social=+2.60, temporal=+1.21, attention=+0.50, risk_reduction=+0.13, ...}"
agent_7c4b3d89e6,Green Routes 1089,Zerinreich,ZER,logistics,3.0,4106346.6376,7774.6313,0.0,1068.8176,-209983.4435,38164.5848,1.317994,0.724743,0.059048,1.0,0.014447,-18692.0897,27.1494,18719.2391,"{temporal=-15922.09, legal=-2471.35, liquidity=-2021.02, social=-220.92, existence=+13.09, causal=+9.79, attention=+0.14, potential=+0.07}"
agent_33d93f0437,Nova Nutrition 1090,Borealgrad,BOR,food,3.0,50414723.7342,524.3264,0.0,31.3087,665658.6552,535.5032,1.03233,0.476207,0.824199,0.970905,0.012074,17.1406,37.0985,19.9579,"{liquidity=-19.96, existence=+14.39, causal=+6.64, legal=+6.34, health=+2.68, social=+1.22, temporal=+0.33, risk_reduction=+0.24, ...}"
agent_e1a9a775e4,Nexus Agro 1091,Galenheim,GAL,agriculture,3.0,88633867.4174,5027.7844,0.0,451.6743,-180637.06,15916.2329,0.853561,0.406374,0.142544,1.0,0.012297,-13763.0083,28.1842,13791.1925,"{temporal=-12528.43, legal=-1521.60, liquidity=-1167.54, social=-165.08, existence=+12.93, causal=+10.71, attention=+0.14, potential=+0.04}"
agent_f4da20d272,Astra Nutrition 1092,Dravesia,DRA,food,4.4,25897367.2988,1065.2622,0.0,18.1056,463998.8379,152.4643,0.864553,0.529461,0.806987,0.996513,0.009956,37.9857,43.3302,5.3445,"{existence=+15.17, causal=+8.70, legal=+7.81, liquidity=-5.34, health=+2.77, social=+1.66, temporal=+0.62, attention=+0.27, ...}"
agent_263c7513f6,Vertex Shield 1093,Ulmarreich,ULM,security,23.67,381196630.6591,18107.3166,0.0,52.3636,388661.1674,1196.4462,0.651616,0.988533,0.89,1.0,0.043568,-120.5354,137.8501,258.3856,"{liquidity=-258.39, causal=+49.77, legal=+36.27, existence=+12.93, social=+9.42, temporal=+3.65, attention=+1.45, risk_reduction=+0.53, ...}"
agent_7dd6a51740,Iron Freight 1094,Ulmarreich,ULM,logistics,3.13,260940779.0253,44124.0452,0.0,2213.4651,-537447.4934,78865.2016,1.739493,1.001629,0.818026,0.888304,0.026605,93.3432,97.3346,3.9914,"{causal=+27.39, legal=+21.95, existence=+15.16, potential=+6.10, epistemic=+4.09, liquidity=-3.99, social=+3.49, comparative=+1.82, ...}"
agent_916e64ef99,Helix AI 1095,Novaresia,NOV,software,22.74,92420505.059,11217.7345,0.0,66.9619,290436.0625,237.1389,0.703443,0.668579,0.882438,0.934641,0.034692,117.8468,127.4404,9.5936,"{causal=+43.85, legal=+34.09, existence=+14.29, liquidity=-9.59, social=+7.90, temporal=+3.40, attention=+1.40, epistemic=+0.86, ...}"
agent_c89140643a,Vector Infrastructure 1096,Valenesia,VAL,construction,18.72,569665317.5655,13514.5636,0.0,60.2529,1058729.754,726.6401,0.839768,0.507027,0.923464,0.902305,0.012751,89.4183,99.4183,10.0,"{causal=+32.25, legal=+24.77, existence=+15.69, liquidity=-10.00, social=+6.18, temporal=+2.83, attention=+1.15, infrastructure=+0.65, ...}"
agent_2b6e508096,Omni Capital 1097,Ephyterra,EPH,finance,24.17,3544406.6296,20826.1181,0.0,43.6324,84061.4389,114.6045,1.292762,0.441404,0.958666,0.970375,0.080618,108.3636,108.3636,0.0,"{causal=+37.09, legal=+29.02, existence=+12.20, social=+7.00, temporal=+3.45, attention=+1.48, liquidity=+0.34, potential=+0.04, ...}"
agent_d988447977,Meridian Culture 1098,Ulmarreich,ULM,entertainment,26.56,261098830.7878,21316.4209,0.0,117.7811,537970.129,947.7957,1.121064,0.548134,0.97,0.932931,0.035079,11.8658,103.7543,91.8885,"{liquidity=-91.89, causal=+36.43, legal=+24.33, existence=+13.54, social=+7.15, temporal=+3.95, attention=+1.64, memory=+0.26, ...}"
agent_c96900c4c5,Kinetic Academy 1099,Belreich,BEL,education,40.47,368862266.9961,31276.0866,0.0,91.6387,761649.666,929.0356,1.259657,0.8008,0.898617,0.946023,0.010597,66.5491,175.1189,108.5698,"{liquidity=-108.57, causal=+64.15, legal=+45.31, existence=+13.96, social=+12.20, temporal=+6.07, attention=+2.49, epistemic=+1.08, ...}"
agent_aac9462e10,Union Infrastructure 1100,Ymirterra,YMI,construction,17.78,309616328.9437,6039.367,0.0,120.2141,650816.2425,2754.1124,0.610395,0.659004,0.469731,1.0,0.042153,-1553.6178,64.7608,1618.3786,"{liquidity=-1060.30, legal=-465.06, causal=+29.28, existence=+15.23, social=+5.22, temporal=+2.68, attention=+1.10, infrastructure=+1.09, ...}"
agent_aa6d023843,Iron Energy 1101,Faronreich,FAR,energy,30.45,204449201.262,64793.007,0.0,6104.123,-845615.8793,215228.0529,1.365869,0.877948,0.404839,1.0,0.039987,-136215.178,121.4426,136336.6205,"{temporal=-120839.03, legal=-16398.29, liquidity=-12050.30, social=-2086.81, causal=+74.11, ecological=-16.26, existence=+15.46, infrastructure=+2.74, ...}"
agent_cafac1f11e,Blue Seed 1102,Borealgrad,BOR,agriculture,3.0,106230676.9679,12604.7283,0.0,1049.0064,-212464.9052,37440.0859,1.241692,0.791267,0.597868,1.0,0.009096,-61.1787,40.2986,101.4773,"{liquidity=-101.48, existence=+14.19, causal=+10.67, legal=+7.69, social=+1.48, temporal=+0.29, attention=+0.14, potential=+0.07}"
agent_a6d9e9f18b,Vector Arms 1103,Ulmarreich,ULM,defense,18.96,548571420.9821,7068.5746,0.0,47.7958,799384.1346,321.7942,0.73939,0.957473,0.924,0.913337,0.033897,-20.3779,79.2009,99.5788,"{liquidity=-78.11, causal=+26.45, ecological=-20.45, legal=+17.51, existence=+13.23, social=+5.07, temporal=+2.84, attention=+1.17, ...}"
agent_006516e535,Blue Power 1104,Dravesia,DRA,energy,17.15,40932405.7814,10546.66,0.0,93.4975,573901.5956,608.0106,1.428887,0.657752,0.99,0.773355,0.014293,45.8327,88.1906,42.3579,"{causal=+26.95, liquidity=-22.28, ecological=-19.13, legal=+15.25, existence=+14.45, social=+4.18, epistemic=+4.00, infrastructure=+3.54, ...}"
agent_e36b7fcf26,Prism Arms 1105,Dravesia,DRA,defense,22.39,116170545.5164,19027.1787,0.0,197.8225,82593.5845,312.5974,1.026715,0.557164,0.99,0.838726,0.024263,86.2993,100.2221,13.9228,"{causal=+33.35, legal=+25.15, existence=+14.40, liquidity=-7.99, social=+6.42, ecological=-5.65, temporal=+3.32, attention=+1.38, ...}"
agent_59337a5f6f,Kinetic Homes 1106,Ulmarreich,ULM,housing,4.73,432447564.2161,2868.5742,0.0,21.7567,1553468.138,126.7793,1.242556,0.853042,0.99,0.844939,0.027405,64.233,64.2331,0.0001,"{legal=+19.53, existence=+19.27, causal=+9.58, social=+3.11, infrastructure=+2.84, temporal=+0.70, attention=+0.29, security=+0.18, ...}"
agent_9967b79923,Omni Ore 1107,Valenesia,VAL,mining,3.0,135170995.6241,1802.9183,0.0,327.0617,-91043.4132,11615.4786,0.546987,0.577253,0.307805,1.0,0.021248,-533.2115,21.0586,554.2701,"{liquidity=-377.96, legal=-146.92, existence=+12.68, causal=+5.11, social=+0.53, temporal=+0.25, attention=+0.14, potential=+0.05}"
