id,participant,sponsor,region,due_step,voluntary,stake,resolved,payout
BC_1_A020_1,A020,A038,R04,4,True,2.06159664969885,True,2.3200000000000003
BC_1_A052_2,A052,A035,R03,7,True,1.7488311901823999,True,2.3200000000000003
BC_4_A032_3,A032,A043,R01,8,True,1.0481436429525675,True,2.3200000000000003
BC_4_A029_4,A029,A016,R02,8,True,2.6994597149097705,True,2.3200000000000003
BC_4_A023_5,A023,A006,R00,11,True,1.4277641999740152,True,2.3200000000000003
BC_11_A030_6,A030,A030,R04,17,True,2.0409360950508235,True,2.3200000000000003
BC_18_A035_7,A035,A018,R04,24,True,1.1381796084552556,True,2.3200000000000003
BC_19_A027_8,A027,A030,R04,26,True,2.229867993844195,True,2.3200000000000003
BC_19_A056_9,A056,A025,R04,24,True,2.38966808283228,True,0.0
BC_20_A026_10,A026,A026,R02,25,True,2.1392312338631596,True,2.3200000000000003
BC_20_A014_11,A014,A023,R00,25,True,2.2761912029191866,True,2.3200000000000003
BC_21_A048_12,A048,A025,R04,24,True,1.3465458735733429,True,2.3200000000000003
BC_23_A015_13,A015,A003,R02,28,True,1.879338880045674,True,2.3200000000000003
BC_28_A019_14,A019,A021,R03,35,True,1.3245984920456182,True,0.0
BC_33_A044_15,A044,A029,R00,37,True,1.5798861869679661,True,2.3200000000000003
BC_35_A048_16,A048,A028,R04,38,True,2.4232211486336865,True,2.3200000000000003
BC_36_A041_17,A041,A003,R02,41,True,1.6553283375063115,True,0.0
BC_36_A049_18,A049,A000,R01,42,True,1.7508955932807828,True,0.0
BC_37_A049_19,A049,A020,R00,40,True,2.852387120252504,True,0.0
BC_37_A010_20,A010,A024,R04,42,True,2.5294636992073474,True,2.3200000000000003
BC_40_A017_21,A017,A044,R01,43,True,2.8040755857206117,True,0.0
BC_40_A022_22,A022,A028,R04,45,True,1.4985189939434322,True,2.3200000000000003
BC_41_A046_23,A046,A031,R03,44,True,2.4252297743641025,True,0.0
BC_41_A034_24,A034,A003,R02,48,True,2.1832345252546226,True,0.0
BC_42_A028_25,A028,A002,R02,49,True,2.118420546058605,True,0.0
BC_44_A056_26,A056,A039,R00,49,True,1.097971702859122,True,2.3200000000000003
BC_44_A025_27,A025,A022,R04,49,True,1.169354531254451,True,2.3200000000000003
BC_60_A031_28,A031,A043,R01,65,True,1.122896717532606,True,0.0
BC_71_A057_29,A057,A043,R01,77,True,1.0460386279058196,True,2.3200000000000003
BC_103_A012_30,A012,A043,R01,108,True,1.0572144415435185,True,2.3200000000000003
BC_138_A029_31,A029,A043,R01,143,True,2.203675597550145,True,2.3200000000000003
