id,borrower,lender,promised_family,promised_amount,stake,due_step,fulfilled
CR_163_A005,A005,A014,norm_reform,3.8500000000000005,3.5,168,True
CR_163_A008,A008,A014,truth_audit,3.8500000000000005,3.5,168,True
CR_163_A011,A011,A014,education,3.8500000000000005,3.5,168,True
CR_164_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,169,True
CR_164_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,169,True
CR_164_A008,A008,A014,truth_audit,3.8500000000000005,3.5,169,True
CR_164_A013,A013,A014,produce_goods,3.8500000000000005,1.621235228338746,169,True
CR_165_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,170,True
CR_165_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,170,True
CR_165_A008,A008,A014,truth_audit,3.8500000000000005,3.5,170,True
CR_165_A013,A013,A014,produce_goods,3.8500000000000005,0.9212352283387459,170,True
CR_166_A005,A005,A014,norm_reform,3.8500000000000005,3.5,171,True
CR_166_A008,A008,A014,truth_audit,3.8500000000000005,3.5,171,True
CR_166_A013,A013,A014,produce_goods,3.8500000000000005,0.9212352283387459,171,True
CR_166_A015,A015,A014,insurance_underwrite,3.8500000000000005,3.5,171,True
CR_167_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,172,True
CR_167_A005,A005,A014,norm_reform,3.8500000000000005,3.5,172,True
CR_167_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,172,True
CR_167_A008,A008,A014,truth_audit,3.8500000000000005,3.5,172,True
CR_168_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,173,True
CR_168_A005,A005,A014,norm_reform,3.8500000000000005,3.5,173,True
CR_168_A008,A008,A014,truth_audit,3.8500000000000005,3.5,173,True
CR_168_A015,A015,A014,insurance_underwrite,3.8500000000000005,3.5,173,True
CR_169_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,174,True
CR_169_A005,A005,A014,norm_reform,3.8500000000000005,3.5,174,True
CR_169_A008,A008,A014,truth_audit,3.8500000000000005,3.5,174,True
CR_169_A011,A011,A014,education,3.8500000000000005,3.5,174,True
CR_170_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,175,True
CR_170_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,175,True
CR_170_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,175,True
CR_170_A008,A008,A014,truth_audit,3.8500000000000005,3.5,175,True
CR_171_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,176,True
CR_171_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,176,True
CR_171_A008,A008,A014,truth_audit,3.8500000000000005,3.5,176,True
CR_171_A013,A013,A014,produce_goods,3.8500000000000005,0.0,176,True
CR_172_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,177,True
CR_172_A005,A005,A014,norm_reform,3.8500000000000005,3.5,177,True
CR_172_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,177,True
CR_172_A008,A008,A014,truth_audit,3.8500000000000005,3.5,177,True
CR_173_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,178,True
CR_173_A005,A005,A014,norm_reform,3.8500000000000005,3.5,178,True
CR_173_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,178,True
CR_173_A008,A008,A014,truth_audit,3.8500000000000005,3.5,178,True
CR_174_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,179,True
CR_174_A005,A005,A014,norm_reform,3.8500000000000005,3.5,179,True
CR_174_A008,A008,A014,truth_audit,3.8500000000000005,3.5,179,True
CR_174_A010,A010,A014,restore_agency,3.8500000000000005,0.0,179,True
CR_175_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,180,True
CR_175_A005,A005,A014,norm_reform,3.8500000000000005,3.5,180,True
CR_175_A008,A008,A014,truth_audit,3.8500000000000005,3.5,180,True
CR_175_A011,A011,A014,education,3.8500000000000005,2.195062189436501,180,True
CR_176_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,181,False
CR_176_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,181,False
CR_176_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,181,False
CR_176_A008,A008,A014,truth_audit,3.8500000000000005,3.5,181,False
CR_177_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,182,False
CR_177_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,182,False
CR_177_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,182,False
CR_177_A008,A008,A014,truth_audit,3.8500000000000005,3.5,182,False
CR_178_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,183,False
CR_178_A005,A005,A014,norm_reform,3.8500000000000005,3.5,183,False
CR_178_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,183,False
CR_178_A008,A008,A014,truth_audit,3.8500000000000005,3.5,183,False
CR_179_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,184,False
CR_179_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,184,False
CR_179_A005,A005,A014,norm_reform,3.8500000000000005,3.5,184,False
CR_179_A007,A007,A014,causal_intervention,3.8500000000000005,0.0,184,False
CR_180_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,185,False
CR_180_A005,A005,A014,norm_reform,3.8500000000000005,3.5,185,False
CR_180_A008,A008,A014,truth_audit,3.8500000000000005,2.8477993551878997,185,False
CR_180_A013,A013,A014,produce_goods,3.8500000000000005,0.0,185,False
