id,category,source,target,name,kind,fiat_value,truth_score
mor_87779763bd,𝓣 Truth,industrialcompany_7cfbe6b7e8,strategiccompany_2301e228a4,F(purchase/water),purchase,12825.71282131653,30.020105870361157
mor_f415b3bd1a,𝓣 Truth,researchcompany_75b8d7c03e,industrialcompany_956f5c8acc,F(purchase/biotech),purchase,47930.46621780359,31.89819032415287
mor_44aad9512e,𝓣 Truth,industrialcompany_eefa11d327,mediacompany_2cb705f3f4,F(purchase/energy),purchase,56833.53117854587,36.90480667879068
mor_b42b1cfcb2,𝓣 Truth,mediacompany_57abd645a1,industrialcompany_f013da2dd3,F(purchase/culture),purchase,19808.416131403486,22.554096462778432
mor_802a224772,𝓣 Truth,mediacompany_ab3a187961,civiliancompany_1e50c0b917,F(purchase/food),purchase,60785.55478515443,31.202289588576246
mor_653ab79c6e,𝓣 Truth,civiliancompany_61722ade62,mediacompany_57abd645a1,F(purchase/health),purchase,43836.53091934061,34.457785353335424
mor_244a621e3e,𝓣 Truth,mediacompany_8cbe79e001,household_2110299d5c,F(purchase/law),purchase,192342.61817828362,37.119859767825034
mor_7f2e23b3e1,𝓣 Truth,industrialcompany_f013da2dd3,researchcompany_48fb06cd6b,F(purchase/insurance),purchase,60034.6453928911,32.88126935361907
mor_cb026ff2f8,𝓣 Truth,mediacompany_2cb705f3f4,industrialcompany_a4c745519b,F(purchase/insurance),purchase,76973.84327246269,32.93433694331581
mor_01f20a629c,𝓣 Truth,strategiccompany_c9334d528e,strategiccompany_6e611815a5,F(purchase/space),purchase,10778.575335293335,32.89373000587775
mor_40229e4f1f,𝓣 Truth,researchcompany_f4de8c9e09,industrialcompany_7cfbe6b7e8,F(purchase/education),purchase,4281.059567146785,26.882610484827737
mor_bccdbc6475,𝓣 Truth,mediacompany_cd4596d788,household_d0e4d3caa0,F(purchase/health),purchase,28824.133686276167,32.1417782083702
mor_f5d1da7acb,𝓣 Truth,civiliancompany_8cdd2f3ec7,mediacompany_5ef862a9f2,F(purchase/luxury),purchase,9817.812496865708,22.003580677593295
mor_b4c1fbe271,𝓣 Truth,strategiccompany_19901bf173,strategiccompany_6d22701402,F(purchase/space),purchase,8009.856712656114,28.580271348155982
mor_b217f6a4fe,𝓣 Truth,mediacompany_f8e14ee9a7,country_6263a1fe41,F(purchase/tourism),purchase,3812.1595481279005,18.23777665856103
mor_670447b8bf,𝓣 Truth,industrialcompany_a47144cce2,country_515c19532d,F(purchase/construction),purchase,10353.866057648616,27.028442368209188
mor_eb07ad0708,𝓣 Truth,cyberdefensecompact_08a70b1e54,country_6263a1fe41,F(defense-support),defense,0.0,15.446698537395692
mor_de9c0b8d32,𝓣 Truth,strategiccompany_6d22701402,mediacompany_7eef8ee6fc,F(purchase/space),purchase,3920.9928542210346,29.903812746312877
mor_51ce479728,𝓣 Truth,strategiccompany_6e611815a5,platformcompany_8cfcacd280,F(purchase/defense),purchase,27150.528897651675,33.46102206336223
mor_11ab0f49db,𝓣 Truth,platformcompany_8cfcacd280,strategiccompany_6e611815a5,F(purchase/health),purchase,65072.68010863475,34.50339685083938
mor_41b9369f93,𝓣 Truth,industrialcompany_dace4c1a97,researchcompany_48fb06cd6b,F(purchase/construction),purchase,2725.3171936505078,26.12590893101632
mor_b5a072902f,𝓣 Truth,mediacompany_57abd645a1,civiliancompany_8cdd2f3ec7,F(purchase/culture),purchase,80052.31292737063,24.307172879165144
mor_6bf3881b8b,𝓣 Truth,civiliancompany_bd4c5d21f6,industrialcompany_0fbee3d505,F(purchase/housing),purchase,11733.961530613295,26.68834100056018
mor_2d35724cfa,𝓣 Truth,mediacompany_ab3a187961,mediacompany_8cbe79e001,F(purchase/food),purchase,37565.89199264865,30.670861933562815
mor_ad24ed7ae5,𝓣 Truth,strategiccompany_c9334d528e,industrialcompany_97a11ef795,F(purchase/space),purchase,5228.6343879103115,28.029954343871985
mor_2fb71cfc7b,𝓣 Truth,industrialcompany_0fa3daf942,industrialcompany_7cfbe6b7e8,F(purchase/software),purchase,9505.863528779133,32.327068422505334
mor_6dbc09d361,𝓣 Truth,mutualdefensepact_2e0282d4d1,country_e2867ab19f,F(defense-support),defense,0.0,15.429361438428844
mor_984ac44a6f,𝓣 Truth,researchcompany_f4de8c9e09,industrialcompany_7cfbe6b7e8,F(purchase/education),purchase,38459.037623304976,34.50387750361224
mor_a7b3075911,𝓣 Truth,strategiccompany_19901bf173,household_21bfe42a85,F(purchase/space),purchase,12892.594311462954,31.905899799281695
mor_6cb97fb52c,𝓣 Truth,industrialcompany_97a11ef795,industrialcompany_956f5c8acc,F(purchase/housing),purchase,15685.35233871535,29.11457488770081
mor_4232bb30c8,𝓣 Truth,mediacompany_5ef862a9f2,strategiccompany_53bfa25ba4,F(purchase/culture),purchase,39944.97504713455,21.294528580035834
mor_d4df62a759,𝓣 Truth,researchcompany_82dc0f9edf,civiliancompany_1e50c0b917,F(purchase/biotech),purchase,32227.98121208242,33.46623888283589
mor_fe101e9151,𝓣 Truth,cyberdefensecompact_08a70b1e54,country_ad40e6eea8,F(defense-support),defense,0.0,17.809664040599888
