tick,country,WBI,MPI,ES,TD,FTD,own_currency_share,imports,exports,production,need,sat_FOO,price_FOO,sat_ENE,price_ENE,sat_HOU,price_HOU,sat_HEA,price_HEA,sat_EDU,price_EDU,sat_CUL,price_CUL,sat_SEC,price_SEC,sat_DAT,price_DAT,sat_MOB,price_MOB
1,AUR,61.5735,56.3162,61.8003,23.0085,0.5281,0.3144,0.1966,0.2641,8.8102,9.3807,0.8099,0.9685,1.0,1.4693,0.5592,1.8486,0.8958,2.4701,0.9501,1.6898,0.7038,1.7033,1.0,1.0963,0.8865,1.9145,0.9992,1.6899
1,BEL,72.2146,43.4155,61.4022,21.6855,0.3278,0.2304,0.362,0.1268,7.8944,8.3769,1.0,0.9196,0.7812,2.3833,0.7922,1.8726,1.0,2.6135,1.0,1.732,0.7079,1.6656,1.0,0.939,0.8879,1.7997,0.8261,1.8237
1,CAL,60.0609,51.1156,64.3884,25.4059,0.5431,0.302,0.1727,0.3403,8.5455,8.8326,0.7269,1.0108,0.7977,1.7246,0.6412,1.7731,0.9451,1.9169,1.0,1.5366,1.0,1.3194,1.0,1.2856,1.0,1.911,1.0,1.9841
2,AUR,66.8979,51.5825,64.3086,19.549,0.9024,0.3124,0.2232,0.2646,8.8165,9.5024,0.8107,0.9584,1.0,1.4497,0.5602,1.8261,0.8958,2.4378,0.9213,1.7078,0.6733,1.7173,1.0,1.083,0.875,1.9089,0.9832,1.6917
2,BEL,76.5796,40.8637,64.3441,20.0842,0.5613,0.2293,0.3558,0.1282,7.8972,8.4643,1.0,0.9097,0.7814,2.3699,0.7927,1.8581,1.0,2.5847,1.0,1.7137,0.6839,1.6756,1.0,0.9298,0.8792,1.7944,0.7891,1.8543
2,CAL,66.59,47.5968,66.6712,21.4749,0.9272,0.2987,0.1734,0.3595,8.5559,8.9704,0.7279,0.9965,0.7999,1.7032,0.6416,1.7455,0.9459,1.8844,1.0,1.5118,1.0,1.2991,1.0,1.2687,1.0,1.8843,1.0,1.9563
