id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_635c68c006,Prism AI 228,Eldorland,ELD,software,307.65,500.107,34323.3623,0.0,4944.0505,-250739.3109,116051.2358,1.361715,0.74672,0.692263,0.558139,0.047257,-2102.8291,204.1874,2307.0165,"{temporal=-892.51, legal=-886.80, liquidity=-285.86, social=-220.39, causal=+120.30, existence=+19.49, attention=+18.09, potential=+4.69, ...}"
agent_2b6627ec33,Omni Mobility 229,Borealgrad,BOR,mobility,169.68,3614.2394,4403.4846,6073.4137,782.5183,244418.6837,130.7839,0.711215,0.629904,0.99,0.394742,0.024674,124.6176,124.9607,0.3431,"{causal=+40.05, legal=+18.29, existence=+17.90, temporal=+13.91, social=+10.62, attention=+8.03, potential=+1.74, infrastructure=+0.51, ...}"
agent_13e8d98e66,Green Broadcast 230,Galenheim,GAL,media,247.92,551.6163,10393.4857,0.0,3690.6598,-314389.6835,81209.8247,0.69791,0.820626,0.764067,0.852031,0.030364,-2258.3496,167.5667,2425.9163,"{temporal=-1088.29, legal=-863.33, liquidity=-307.18, social=-175.21, causal=+99.04, existence=+17.51, attention=+14.85, potential=+2.27, ...}"
agent_e06ef038bb,Saffron Build 231,Borealgrad,BOR,construction,94.19,2914.4166,3277.0613,0.0,493.189,259934.9803,236.2388,0.87981,0.969714,0.99,0.580961,0.030582,109.3241,109.989,0.6648,"{causal=+31.22, existence=+20.02, legal=+14.83, temporal=+9.02, social=+8.45, infrastructure=+5.38, attention=+4.88, potential=+2.68, ...}"
agent_141cf4500c,Pioneer Routes 232,Lumerterra,LUM,logistics,149.97,784.7348,41981.2027,0.0,3693.3822,-345559.866,110409.7385,1.380811,0.588845,0.691516,0.8407,0.010856,-2504.1106,144.7196,2648.8302,"{temporal=-1249.10, legal=-904.93, liquidity=-315.52, social=-206.29, causal=+84.43, existence=+21.17, attention=+9.25, potential=+1.63}"
agent_0154c56a0b,Quantum Legal 233,Borealgrad,BOR,legal,316.79,1134.5756,4369.8162,673.2358,898.8379,206367.6605,128.3815,0.679129,0.948627,0.99,0.494984,0.016435,210.6646,211.0111,0.3465,"{causal=+63.26, legal=+42.02, temporal=+25.40, social=+19.36, attention=+15.19, existence=+14.78, epistemic=+3.80, potential=+2.62, ...}"
agent_e495a0d49c,Iron Ledger 234,Helioia,HEL,finance,54.61,1224.7086,361.5927,0.0,337.106,179485.3993,157.3032,1.287849,0.363411,0.724672,0.629162,0.029002,63.2279,63.2279,0.0,"{causal=+18.03, existence=+14.82, legal=+8.09, social=+4.84, temporal=+4.54, attention=+2.60, liquidity=+2.33, potential=+1.00}"
agent_c99c5f3e0a,Quantum Ledger 235,Borealgrad,BOR,finance,120.71,1275.0242,3933.5487,586.7378,697.7001,242836.5793,418.9575,1.539714,0.672819,0.99,0.26764,0.051569,113.8301,113.8301,0.0,"{causal=+34.78, legal=+16.81, existence=+14.32, temporal=+11.15, social=+9.94, liquidity=+6.51, attention=+6.30, potential=+1.86}"
agent_9c12c88fb1,Omni Routes 236,Galenheim,GAL,logistics,66.9,633.4448,7913.7308,0.0,1637.3683,-102505.6733,51278.5341,0.967153,0.681963,0.712262,0.809409,0.015648,-158.1697,79.2744,237.444,"{legal=-100.72, temporal=-67.22, liquidity=-45.29, causal=+39.67, existence=+19.50, social=-15.73, attention=+4.13, potential=+1.88}"
agent_fba0a47f42,Astra Research 237,Eldorland,ELD,research,106.54,535.2487,216.1993,54.9345,529.0389,105039.7188,210.3594,0.685348,0.562658,0.943093,0.451174,0.088253,66.9202,67.8736,0.9534,"{causal=+18.09, existence=+12.91, legal=+7.25, temporal=+6.72, social=+5.02, attention=+4.65, potential=+3.25, epistemic=+1.27, ...}"
agent_c0078e801b,Saffron Ore 238,Lumerterra,LUM,mining,13.36,934.5989,1283.7976,0.0,780.5925,-64374.082,24495.1925,0.774562,0.571817,0.7202,0.766976,0.042602,-475.5346,34.6905,510.225,"{temporal=-275.07, legal=-159.53, liquidity=-56.77, social=-31.34, existence=+16.07, causal=+11.30, potential=+1.58, attention=+0.82}"
agent_21dafb5c6e,Signal Attention 239,Jorvikmark,JOR,media,627.87,812.9375,62692.7264,319.3259,6358.5452,-298781.6268,193067.7674,1.392396,0.408199,0.448948,0.578461,0.115309,-820.3215,389.9216,1210.2431,"{legal=-557.96, temporal=-263.24, causal=+252.55, liquidity=-250.23, social=-74.12, attention=+37.13, existence=+19.78, potential=+1.13, ...}"
agent_7a05f9ae56,Civitas Build 240,Helioia,HEL,construction,156.36,4358.8262,2265.9483,0.0,174.806,508424.7327,486.6675,0.749217,0.790324,0.958654,0.451597,0.016829,123.3085,124.3732,1.0647,"{causal=+37.58, existence=+19.43, legal=+16.63, temporal=+12.75, social=+9.86, attention=+7.33, infrastructure=+4.38, potential=+2.18, ...}"
