id,category,source,target,name,kind,fiat_value,truth_score
mor_07b34be173,𝓣 Truth,industrialcompany_4871efbfc7,household_ce71fbbcac,F(purchase/construction),purchase,15480.82866977252,31.493888090393266
mor_e8b076d76c,𝓣 Truth,strategiccompany_d43f04bae5,strategiccompany_8a1d7768c9,F(purchase/agriculture),purchase,18987.6316764032,28.615257477809305
mor_fd1fe6f1ea,𝓣 Truth,mediacompany_1b17b48105,country_d0569cdc08,F(purchase/culture),purchase,11347.052786743412,20.407523601137168
mor_88bfb78daa,𝓣 Truth,maritimesecurityleague_4126ecd0fb,country_e8d83ed126,F(defense-support),defense,0.0,18.490932846330473
mor_9fd7245e15,𝓣 Truth,cyberdefensecompact_4d867d91c4,country_bb82d03d82,F(defense-support),defense,0.0,11.669844366765794
mor_90a4d1a2ef,𝓣 Truth,mediacompany_6c039e226e,strategiccompany_e4987f002a,F(purchase/law),purchase,32305.8023456485,33.931508328318
mor_5a87ff1630,𝓣 Truth,civiliancompany_0d45042f15,industrialcompany_db4d818fd8,F(purchase/insurance),purchase,47547.71300166792,31.183627459406807
mor_f9654b7425,𝓣 Truth,strategiccompany_5e96fa3c6c,household_3288b434ed,F(purchase/defense),purchase,21637.116571839557,33.380886347054094
mor_b20fa4980c,𝓣 Truth,industrialcompany_6c11b11486,researchcompany_c6901c3cba,F(purchase/software),purchase,6712.4185408972535,28.081713279935208
mor_fc6c2ccd8f,𝓣 Truth,researchcompany_75e3e7b824,industrialcompany_fd428ea976,F(purchase/food),purchase,12746.381592190211,29.36056012453793
mor_f2a690974d,𝓣 Truth,industrialcompany_546e3f8936,strategiccompany_d43f04bae5,F(purchase/semiconductors),purchase,4003.9743743026506,26.07233494415143
mor_3b282a4e6c,𝓣 Truth,industrialcompany_273e09678b,industrialcompany_546e3f8936,F(purchase/construction),purchase,15547.919223863255,31.507533564722902
mor_22ab1b99f9,𝓣 Truth,industrialcompany_fd428ea976,industrialcompany_e93e8deaf4,F(purchase/construction),purchase,23068.583295276105,32.75251283553006
mor_389b03e3a2,𝓣 Truth,strategiccompany_0407c0f3b0,strategiccompany_5e96fa3c6c,F(purchase/cybersecurity),purchase,2710.0808127166965,25.38862531933867
mor_81bba2b635,𝓣 Truth,industrialcompany_17475691f2,household_8d9e951a3c,F(purchase/construction),purchase,50254.40373457711,35.20951160947823
mor_43af41f598,𝓣 Truth,researchcompany_75e3e7b824,industrialcompany_8a06fa6e5b,F(purchase/food),purchase,52433.22090210784,33.59597751255844
mor_f9cf7a791c,𝓣 Truth,mediacompany_1b17b48105,household_8d9e951a3c,F(purchase/culture),purchase,25739.207547384114,22.10553213780611
mor_c74167c6f1,𝓣 Truth,researchcompany_937004117b,household_7079143608,F(purchase/research),purchase,27797.272802354117,32.964347366667525
mor_4a7b6aa69e,𝓣 Truth,developmentbank_45f4d4a40e,researchcompany_8a03681c96,F(loan-origination),loan,49319.81057926923,27.407559246835074
mor_58138c4133,𝓣 Truth,civiliancompany_5dbfb614fc,mediacompany_6c039e226e,F(purchase/health),purchase,79799.00460751232,36.54228395213633
mor_4ce5bcceff,𝓣 Truth,researchcompany_8a03681c96,industrialcompany_e93e8deaf4,F(purchase/biotech),purchase,20983.00661566154,33.13816524002898
mor_8508625945,𝓣 Truth,strategiccompany_87df2119fc,household_0c5ea5876f,F(purchase/agriculture),purchase,39428.19420184733,30.65969760289068
mor_cd580470de,𝓣 Truth,industrialcompany_b372319db2,civiliancompany_b677ec97e5,F(purchase/logistics),purchase,3012.643992892962,21.510252564976803
mor_793f994cf5,𝓣 Truth,industrialcompany_273e09678b,strategiccompany_61649e2941,F(purchase/construction),purchase,23491.061750408375,32.809780173239275
mor_5c8b41b949,𝓣 Truth,industrialcompany_5aebed95aa,strategiccompany_8a1d7768c9,F(purchase/water),purchase,90608.33718507185,34.15664282450597
mor_417f46503d,𝓣 Truth,platformcompany_3119f56512,industrialcompany_546e3f8936,F(purchase/insurance),purchase,11916.91492082367,27.31193210108785
mor_01bf5ca2a6,𝓣 Truth,industrialcompany_e93e8deaf4,researchcompany_13a692481e,F(purchase/energy),purchase,1717.3382789993625,24.640223459571484
mor_b483ccdfab,𝓣 Truth,mediacompany_6b6f70f4d4,researchcompany_a20bd197a4,F(purchase/insurance),purchase,17983.9527534931,28.463309324645476
mor_1a26ffbaaf,𝓣 Truth,mutualdefensepact_1b5d3e0e69,country_d0569cdc08,F(defense-support),defense,0.0,14.435546938765036
mor_6a84b9f47e,𝓣 Truth,maritimesecurityleague_4126ecd0fb,country_deb175b52d,F(defense-support),defense,0.0,18.490932846330473
mor_ac9ef2de0f,𝓣 Truth,researchcompany_d70650fc91,industrialcompany_546e3f8936,F(purchase/education),purchase,20633.7835196783,30.556655086744183
mor_7ae27d0e3c,𝓣 Truth,strategiccompany_e4987f002a,industrialcompany_db4d818fd8,F(purchase/space),purchase,8328.850454507006,30.130159020175608
mor_695cc1260c,𝓣 Truth,mediacompany_6c039e226e,industrialcompany_73cb1e5487,F(purchase/law),purchase,19343.775071405275,32.30737205874562
mor_00e41cc4e9,𝓣 Truth,cyberdefensecompact_4d867d91c4,country_deb175b52d,F(defense-support),defense,0.0,11.669844366765794
mor_7af40755a9,𝓣 Truth,mediacompany_5980bc7864,researchcompany_c6901c3cba,F(purchase/food),purchase,358.2348284413758,18.67162640069365
mor_3f1c0c31bc,𝓣 Truth,mediacompany_1b17b48105,country_d0569cdc08,F(purchase/culture),purchase,3061.105308425607,17.691683281463433
mor_600c76bdaf,𝓣 Truth,researchcompany_13a692481e,country_e8d83ed126,F(purchase/biotech),purchase,21779.1747948311,33.25824242023924
mor_76d6366c05,𝓣 Truth,mediacompany_6b6f70f4d4,industrialcompany_273e09678b,F(purchase/insurance),purchase,84470.6335399143,32.79155783228876
mor_951d90ee91,𝓣 Truth,researchcompany_c6901c3cba,mediacompany_6b6f70f4d4,F(purchase/biotech),purchase,7295.623055050498,29.732020991018803
mor_8d78c43d56,𝓣 Truth,industrialcompany_6c11b11486,household_0c5ea5876f,F(purchase/software),purchase,7033.367013093706,28.224970752234995
mor_08f1c153c1,𝓣 Truth,mediacompany_bd97dff58a,civiliancompany_b677ec97e5,F(purchase/luxury),purchase,49503.698289492255,24.52515181172972
mor_ecb9cb78d4,𝓣 Truth,strategiccompany_0407c0f3b0,household_0c5ea5876f,F(purchase/cybersecurity),purchase,44249.85662678897,33.98639815335186
mor_f6687e1dff,𝓣 Truth,civiliancompany_b677ec97e5,strategiccompany_0407c0f3b0,F(purchase/luxury),purchase,8843.11247981286,20.78488514140127
mor_6dec56aa45,𝓣 Truth,developmentbank_9fd10fc75f,civiliancompany_7d749b2ace,F(loan-origination),loan,33861.350689955165,27.27201479433348
mor_ddcd6fce96,𝓣 Truth,platformcompany_45ab5ceb57,country_deb175b52d,F(purchase/health),purchase,271541.266783816,40.392959322132015
mor_397abf1278,𝓣 Truth,industrialcompany_fd428ea976,strategiccompany_0407c0f3b0,F(purchase/construction),purchase,15250.084802429488,31.446501722801745
mor_7859ae8fee,𝓣 Truth,researchcompany_75e3e7b824,strategiccompany_5e96fa3c6c,F(purchase/food),purchase,13088.507521014688,29.439878940869452
mor_1bdfa155fa,𝓣 Truth,strategiccompany_f2b222651a,household_1e5a821004,F(purchase/space),purchase,52483.685497196464,36.059436323773625
mor_d28f584b7d,𝓣 Truth,industrialcompany_e93e8deaf4,country_90e40c8555,F(purchase/energy),purchase,23618.02072775673,32.93957029129344
mor_5c3fd757b8,𝓣 Truth,strategiccompany_7d20e7a342,industrialcompany_17475691f2,F(purchase/space),purchase,52353.002316128164,36.05140563541176
mor_ea758e0fc5,𝓣 Truth,investmentbank_64b9f52658,industrialcompany_4871efbfc7,F(loan-origination),loan,87838.03379038187,25.36559652009601
mor_b50fb0ab9c,𝓣 Truth,strategiccompany_61649e2941,strategiccompany_e4987f002a,F(purchase/defense),purchase,32168.881799816365,34.6653308611696
mor_1aa8448c54,𝓣 Truth,researchcompany_a20bd197a4,strategiccompany_0407c0f3b0,F(purchase/biotech),purchase,58037.04743378951,36.41852148891792
mor_c174d6dcd5,𝓣 Truth,strategiccompany_0407c0f3b0,mediacompany_6c039e226e,F(purchase/cybersecurity),purchase,8233.041921073878,28.80901102694424
mor_b0035685f3,𝓣 Truth,industrialcompany_6c11b11486,mediacompany_bd97dff58a,F(purchase/software),purchase,39205.44569376654,33.49529607905824
mor_d19727b904,𝓣 Truth,civiliancompany_7d749b2ace,civiliancompany_0d45042f15,F(purchase/housing),purchase,29787.044979059978,29.347670779592214
mor_880cd647a0,𝓣 Truth,mediacompany_6b6f70f4d4,strategiccompany_7d20e7a342,F(purchase/insurance),purchase,12295.511551173244,27.39943519651413
mor_ee192dba14,𝓣 Truth,strategiccompany_8a1d7768c9,researchcompany_937004117b,F(purchase/finance),purchase,4632.333718969953,22.79789667400495
mor_99bc5b3d7a,𝓣 Truth,mediacompany_6c039e226e,strategiccompany_e4987f002a,F(purchase/law),purchase,43705.53612518028,34.88859326664646
mor_482793e70a,𝓣 Truth,researchcompany_937004117b,strategiccompany_d43f04bae5,F(purchase/research),purchase,15328.20809054289,31.10796463405214
mor_8df72ee5a1,𝓣 Truth,platformcompany_3119f56512,industrialcompany_546e3f8936,F(purchase/insurance),purchase,2557.699218403685,23.007009867608925
